Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.Application\HM.Presupuestos.Application.csproj,File,HM.Presupuestos.Application\HM.Presupuestos.Application.csproj,,,Microsoft.Extensions.Logging 8.0.1,,,,,"Microsoft.Extensions.Logging, 8.0.1  Recomendación:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.8"
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,HM.Presupuestos.Application\HM.Presupuestos.Application.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,HM.Presupuestos.Application\HM.Presupuestos.Application.csproj,File,HM.Presupuestos.Application\HM.Presupuestos.Application.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,HM.Presupuestos.Domain\HM.Presupuestos.Domain.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,HM.Presupuestos.Domain\HM.Presupuestos.Domain.csproj,File,HM.Presupuestos.Domain\HM.Presupuestos.Domain.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,File,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,,,Microsoft.Extensions.Configuration.Binder 8.0.2,,,,,"Microsoft.Extensions.Configuration.Binder, 8.0.2  Recomendación:  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.8"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,File,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 8.0.0,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 8.0.0  Recomendación:  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 10.0.8"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,File,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,,,Microsoft.Extensions.Configuration.Json 8.0.1,,,,,"Microsoft.Extensions.Configuration.Json, 8.0.1  Recomendación:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.8"
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,File,HM.Presupuestos.E2ETest\HM.Presupuestos.E2ETest.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,HM.Presupuestos.Infrastructure\Servicios\ApiCoreCli.cs,122,20,T:System.Net.Http.HttpContent,,,,,"_logger?.Error($""Mensaje: {await response.Content.ReadAsStringAsync()}"");"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,HM.Presupuestos.Infrastructure\Servicios\ApiCoreCli.cs,116,20,T:System.Net.Http.HttpContent,,,,,string retorno = await response.Content.ReadAsStringAsync();
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,HM.Presupuestos.Infrastructure\Servicios\ApiCoreCli.cs,84,20,T:System.Net.Http.HttpContent,,,,,"_logger?.Error($""Mensaje: {await response.Content.ReadAsStringAsync()}"");"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,HM.Presupuestos.Infrastructure\Servicios\ApiCoreCli.cs,78,20,T:System.Net.Http.HttpContent,,,,,string retorno = await response.Content.ReadAsStringAsync();
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,HM.Presupuestos.Infrastructure\Servicios\ApiCoreCli.cs,46,20,T:System.Net.Http.HttpContent,,,,,"Console.WriteLine($""Mensaje: {await response.Content.ReadAsStringAsync()}"");"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,HM.Presupuestos.Infrastructure\HM.Presupuestos.Infrastructure.csproj,File,HM.Presupuestos.Infrastructure\Servicios\ApiCoreCli.cs,39,20,T:System.Net.Http.HttpContent,,,,,retorno = await response.Content.ReadAsStringAsync();
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,HM.Presupuestos.UnitTest\HM.Presupuestos.UnitTest.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,HM.Presupuestos.UnitTest\HM.Presupuestos.UnitTest.csproj,File,HM.Presupuestos.UnitTest\HM.Presupuestos.UnitTest.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.13,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.13  Recomendación:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.8"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,,,Microsoft.AspNetCore.Authentication.OpenIdConnect 8.0.13,,,,,"Microsoft.AspNetCore.Authentication.OpenIdConnect, 8.0.13  Recomendación:  Remove Microsoft.AspNetCore.Authentication.OpenIdConnect, and replace with new package Microsoft.AspNetCore.Authentication.OpenIdConnect 10.0.8"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.Server 8.*-*,,,,,"Microsoft.AspNetCore.Components.WebAssembly.Server, 8.*-*  Recomendación:  Remove Microsoft.AspNetCore.Components.WebAssembly.Server, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.Server 10.0.8"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,,,Microsoft.Extensions.Localization 9.0.0,,,,,"Microsoft.Extensions.Localization, 9.0.0  Recomendación:  Remove Microsoft.Extensions.Localization, and replace with new package Microsoft.Extensions.Localization 10.0.8"
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,HM.Presupuestos.Web\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Layout/Cabecera_razor.g.cs,570,20,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"__builder3.AddAttribute(44, ""href"",   #nullable restore  #line (46,36)-(46,93) ""C:\GitHub\ESFNN-PresupuestosWeb\HM.Presupuestos.Web\Layout\Cabecera.razor""  Configuration.GetValue<string>(""AppSettings:HelpDeskUrl"")    #line default  #line hidden  #nullable disable                      );"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,HM.Presupuestos.Web\HM.Presupuestos.Web.csproj,File,HM.Presupuestos.Web\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Layout/Cabecera_razor.g.cs,426,0,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"__builder3.AddContent(22, Configuration.GetValue<string>(""AppSettings:AppEnvironment"")    #line default  #line hidden  #nullable disable                      );"
